seite_gedruckt	pdf_blatt	dokumenttyp	leistung_ocr	kriterien_ocr	1_Strategische_Planung	2_Vorstudien	3_Projektierung	4_Ausschreibung	5_Realisierung	6_Bewirtschaftung	Behoerden	Auftraggeber	Planer	Nutzer	Betreiber	Umfeld	Perimeter	Gebaeude
44	44	Volumenstudien	Kosteneffizienz: Volumen und Kompaktheit, Mini- mierung Unterterrainbauten	B.7 C.6		x	x					E	L				x	x
44	44	Volumenstudien	Verschattung, Sonneneinstrahlung, Tageslicht, Ein- und Ausblicke	A.5 B.3		x	x					E	L			x	x	x
44	44	Volumenstudien	Einfache Raumkonzepte, geringer Flächenbedarf	A.4 B.2 B.3 C.2C.4C.6		x	x					E	L				x	x
45	45	Nutzungskonzept	Bestimmung der Gebäudetypologie: Ausrichtung Nutzungseinheiten, Erschliessung, Struktur	A.4A.5B.1 B.3		x	x					E	L				x	x
45	45	Nutzungskonzept	Nutzungsdefinition in Ergänzung zum bestehenden Angebot, Ziel höhere Standortqualität	A.1 A.2 A.3 B.1 B.2 B.4	x	x						LE	L		P	x	x	x
45	45	Nutzungskonzept	Finanzierbarkeit, Marktfähigkeit und langfristige Rendite der geplanten Nutzungen	B.4B.6B.7	x	x						LE	L		P		x	x
45	45	Nutzungskonzept	Diversität des Angebots, Schaffung möglicher Syner- gien in der Nutzung (gemeinsame Nutzung)	A.3 A.4 B.2 B.5 B.6.C.2	x	x	x			x		E	L	P	L		x	x
45	45	Nutzungskonzept	Zugänglichkeit, Hindernisfreiheit gemäss SIA 500, Erschliessung für Personen, Güter und Medien	A.1 A.2 A.3 A.4B.2C.1		x	x			x		E	L		L	x	x	x
45	45	Nutzungskonzept	Nutzungsszenarien in Varianten zur Sicherstellung guter Nutzbarkeit und Möblierbarkeit	A.1 A.4 A.6 B.2 B.6 C.4		x	x					E	L	P	P			x
45	45	Nutzungskonzept	Anwendung und Entwicklung innovativer Nutzungs- modelle, auch baulich und technisch	A.4 A.5 B.5		x	x	x		x		E	P	P	L			x
45	45	Nutzungskonzept	Suffizienz: Priorisierung zwingend notwendiger Angebote, Nutzbarkeit bei hoher Belegung	A.2 B.2B.7 C.2C.6	x	x				x		E	P	P	L			x
45	45	Nutzungskonzept	Differenzierung öffentlicher/halböffentlicher/privater Räume und Flächen	A.3 A.4 A.6		x	x				P	E	L	P	P		x	x
45	45	Nutzungskonzept	Mehrfachnutzung von Räumen und Angeboten, Einbezug von Modellen des Teilens	A.2 A.3 A.A B.4C.2 C.6		x	x	x		x		E	P	P	L		x	x
45	45	Nutzungskonzept	Funktionales Raumprogramm: Grösse, Art, Zu- sammenwirken, Zugänglichkeit der Nutzungen	A.1A.3A.4 B.6C.2		x	x			x		E	L	P	L			x
45	45	Nutzungskonzept	Nutzungstflexibilität/-neutralität, Anpassbarkeit, Dauerhaftigkeit, Einfachheit, Rückbaufähigkeit	A.4 B.4 B.5 B.6 C.2 C.4		x	x			x		E	L		L			x
45	45	Nutzungskonzept	Gestaltung, Orientierung, Sicherheit, Geborgenheit, Rückzug, Privatheit	A.3 A.5 A.6 B.5		x	x			x		E	L	P	P		x	x
45	45	Nutzungskonzept	Definition Tragstruktur und Konstruktion: Ressourcen- schonung, Kosten, Sicherheit	B.5 B.7 C.4 C.6		x	x					E	L					x
45	45	Nutzungskonzept	Sicherheitskonzept: physische Sicherheit im Gebäude und auf dem Grundstück	A.4 A.6		x	x			x		E	L	P	L		x	x
45	45	Nutzungskonzept	Ausbaustandard entsprechend Preissegment, Robustheit, Einfachheit, vielfältige Nutzbarkeit	A.2C.2C.4 C.6		x	x			x		E	L		P			x
45	45	Nutzungskonzept	Klärung und Einbindung der Bedürfnisse der vom Projekt Betroffenen	A.2B.2C.2	x	x	x	x	x	x	P	E	L	P	P		x	x
45	45	Nutzungskonzept	Kosteneffizienz: Flächeneffizienz (HNF/GF) und Er- schliessungseffizienz (VF/GF)	A.2 B.3B.7 c.2		x	x					E	L					x
45	45	Mobilitätskonzept	Attraktivität und Sicherheit der Wegführungen, Zn Durchlässigkeit, Anbindung an Umfeld	A1NABBI B.3 C.1		x	x			x		E	L		P	x	x	x
45	45	Mobilitätskonzept	Zugänglichkeit und Anbindung an öffentlichen Ver- kehr, Velowege, Hindernisfreiheit	A.1 B.1B.3 C.1		x	x				P	E	L			x	x	
45	45	Mobilitätskonzept	Innovative Mobilitätskonzepte und -angebote, Sharing-Systeme, Anreizsysteme	B5C.1		x	x			x		E	L		P		x	
45	45	Mobilitätskonzept	Park- und Stellplätze für Velo und Auto: Art, Anzahl, Lokalisierung und Bewirtschaftung	C.1		x	x			x	P	E	L		L	x	x	
45	45	Mobilitätskonzept	Evaluation, ggf. Anpassung Mobilitätsangebote	A.1B.1C.1		x	x			x	P	E	L	P	L		x	
45	45	Mobilitätskonzept	Sensibilisierung Nutzer, Schaffung von Anreiz- systemen	A.7C.1 ?						x		E	L	P	L		x	
46	46	Ertragsrechnung	Sicherung Finanzierung, Klärung Rahmenbedin- gungen Wirtschaftlichkeit und Rendite	B.6B.7	x	x						LE	L			x	x	x
46	46	Ertragsrechnung	Priorisierung notwendiger, zwingender und optionaler Angebote	A.2 B.2B.6	x	x						LE	L	P		x	x	
46	46	Ertragsrechnung	Verifizierung Lebenszykluskosten, Berücksichtigung Gesamtkosten inkl. Projektanpassungen	B.2 B.6 B.7		x	x	x	x	x		LE	L		P		x	x
46	46	Ertragsrechnung	Volumeneffizienz: Kompaktheit der Volumen, Geologie, Terrainverhältnisse, Unterterrainbauten	B.1 B.4 B.5 B.7 G3C.6		x	x					E	L			x	x	x
46	46	Ertragsrechnung	Ertragsrechnungen unter Einbezug von Einlagen in Unterhalt und Erneuerung	B.6 B.7		x				x		LE	L		P		x	x
46	46	Ertragsrechnung	Flächeneffizienz: Verhältnis vermietbare Fläche zu Geschossfläche, hohe Nutzbarkeit	A.2 A.AB.2 B.4 C.6		x	x					E	L					x
46	46	Ertragsrechnung	Erschliessungseffizienz: Verhältnis Verkehrsflächen . zu Hauptnutzflächen	A.A B.2 B.4 c.6		x	x					E	L					x
46	46	Ertragsrechnung	Energieeffizienz: Verhältnis Investitionskosten zu Senkung Energiekosten im Betrieb	A.4 B.4		x	x			x		E	L		P			x
46	46	Ertragsrechnung	Dauerhaftigkeit, Einfachheit und Robustheit, Bedie- nungsfreundlichkeit technischer Systeme	A.4 B.4 B.5 B.7C.4C.6		x	x	x		x		E	L	P	P			x
46	46	Ertragsrechnung	Instandhaltung und Instandsetzung: Werterhalt, Erneuerungszyklen, Systemtrennung	B.4 B.7 C.4 C.6		x	x	x		x		E	L		P			x
46	46	Ertragsrechnung	Nutzbarkeit, Nutzungsflexibilität und -neutralität, Anpassbarkeit bei Nutzungsänderungen	A.4 B.4C.4 C.6		x	x	x		x		E	L		P		x	x
46	46	Ertragsrechnung	Gestaltungsqualität, Identität, Innovation, Alleinstel- lungsmerkmal	A.5 B.4B.5		x	x				P	E	L				x	x
46	46	Ertragsrechnung	Werterhalt: Regelmässige Instandhaltung und Instand- setzung	B.4 B.6 B.7						x		E	L		P		x	x
46	46	Ertragsrechnung	Kostengünstige Angebote durch Reduktion Flächen- bedarf, Komfort, Ausbaustandard	A.2 B.2B.4 B.6C.2		x	x					E	L				x	x
46	46	Materialkonzept	Definition Bauweise/Materialisierung in Abhängigkeit von Struktur und Konstruktion	A.5 C.4C.6		x	x	x				E	L					x
46	46	Materialkonzept	Identitätsstiftende Massnahmen zum gestalterischen Kontext, Einfachheit	A.5C.2C.4		x	x				P	E	L	P				x
46	46	Materialkonzept	Materialisierung unter Berücksichtigung von Raum- luftqualität und Umweltbelastung	A.6C.5		x	x	x		x		E	L		P			x
46	46	Materialkonzept	Recyclingmaterialien und Wiederverwendung ganzer Bauteile, regionale Baustoffe, Entsorgung	A5C.5C.6		x	x	x		x		E	L		P			x
46	46	Materialkonzept	Dauerhaftigkeit, Auswechselbarkeit, Unterhalt und Reinigung, Bauschadenfreiheit	B.7 C.4 C.6		x	x	x		x		E	L		P			x
46	46	Materialkonzept	Funktionstüchtigkeit, spezifische Anforderungen, Sicherheit	A.4 A.6 C.4		x	x	x		x		E	L		P			x
46	46	Materialkonzept	Auswahl Submittentenlisten mit Berücksichtigung regionaler Anbieter	A.5 C.5 C.6		x		x				E	L					x
46	46	Materialkonzept	Innovation und Suffizienz: Zulassung Unternehmer- varianten	B5C.2		x		x				E	L					x
46	46	Materialkonzept	Integration ökologischer Vorgaben in Ausschreibung und Ausführung, Baustellenkontrollen	A.6 C.3 C.5 C.6C.7				x	x			E	L					x
46	46	Materialkonzept	Optimierung auf tiefe Lebenszykluskosten, Bauteil- alterung, Unterhalt und Reinigung .	B.7 C.4 C.6		x	x	x		x		E	L		P			x
47	47	Freiraumkonzept	Analyse Gefahrenzonen, Immissionen (Licht, Lärm, Umweltbelastung) und Altlasten	A.6C.5		x	x				P	E	L			x	x	
47	47	Freiraumkonzept	Setzung Bauvolumen: Freiflächen, Schnittstelle zu Umfeld, Terraingestaltung, Grundwasser	B:3:C.3		x	x				P	E	L				x	
47	47	Freiraumkonzept	Nicht unterbaute Freiflächen, Versickerung- und Retentionsflächen, Dachbegrünungen	B.7C.3C.6		x	x				P	E	L				x	
47	47	Freiraumkonzept	Nutzungen, Raumprogramm in Aussen- und Frei- räumen differenziert nach Zielgruppen	A.3 A.4 B.3 C.3		x	x			x		E	L	P	P		x	
47	47	Freiraumkonzept	Angebot von Räumen und Orten zur Förderung sozialer Kontakte, Nutzbarkeit, Zugänglichkeit	A.3 B.3		x	x			x		E	L	P	P		x	x
47	47	Freiraumkonzept	Sicherheit im Aussenraum, Wegführungen, Über- sichtlichkeit, Zugänglichkeit, Hindernisfreiheit	A.1 A.4 A.6		x	x			x		E	L	P	P		x	
